2022-01-24 22:32:12.686[1643059932686] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00002681
2022-01-24 22:32:12.686[1643059932686] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:13.724[1643059933724] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36922.38000000
2022-01-24 22:32:13.724[1643059933724] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36923.37000000
2022-01-24 22:32:13.724[1643059933724] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00002681
2022-01-24 22:32:13.724[1643059933724] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:13.725[1643059933725] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36924.85000000
2022-01-24 22:32:13.725[1643059933725] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36924.85000000
2022-01-24 22:32:13.725[1643059933725] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:13.725[1643059933725] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:13.726[1643059933726] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36926.80000000
2022-01-24 22:32:13.726[1643059933726] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36926.80000000
2022-01-24 22:32:13.726[1643059933726] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:13.726[1643059933726] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:13.727[1643059933727] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36946.32000000
2022-01-24 22:32:13.727[1643059933727] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36946.32000000
2022-01-24 22:32:13.727[1643059933727] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00000000
2022-01-24 22:32:13.727[1643059933727] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:13.728[1643059933728] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36935.38000000
2022-01-24 22:32:13.728[1643059933728] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36946.32000000
2022-01-24 22:32:13.728[1643059933728] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00029611
2022-01-24 22:32:13.728[1643059933728] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:14.627[1643059934627] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36935.38000000
2022-01-24 22:32:14.627[1643059934627] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36946.32000000
2022-01-24 22:32:14.627[1643059934627] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00029611
2022-01-24 22:32:14.627[1643059934627] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:14.628[1643059934628] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36937.97000000
2022-01-24 22:32:14.628[1643059934628] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - maxPrice = 36946.32000000
2022-01-24 22:32:14.628[1643059934628] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - priceDecreasePercentage = 0.00022600
2022-01-24 22:32:14.628[1643059934628] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - shouldBuy = false
2022-01-24 22:32:14.656[1643059934656] | DEBUG | OkHttp https://testnet.binance.vision/... | c.l.b.s.BuyOnPercentageDecreaseInTimeframeAndSetLimitOrderStrategy - latestPrice = 36946.32000000
